InternalsType,SubType,Manufacturer,d50_um,Sharpness,MaxEfficiency,MaxKFactor_m_s,MinKFactor_m_s,PressureDrop_mbar,DesignStandard,Material,MaxTemperature_C,MinThickness_mm,Weight_kg_m2,Reference
VANE_PACK,Vertical Upflow,Generic,11.0,2.2,0.994,0.14,0.02,2.0,NORSOK P-100,SS316L,500,0.8,11.0,Verlaan (2001)
VANE_PACK,High Temperature (Inconel),Generic,10.0,2.3,0.995,0.12,0.02,2.5,NORSOK P-100,Inconel 625,800,0.8,14.0,Arnold and Stewart (2008)
VANE_PACK,Duplex 2507,Generic,10.0,2.3,0.995,0.12,0.02,2.5,NORSOK M-001,Super Duplex 2507,350,0.8,13.0,NORSOK M-001
VANE_PACK,Low DP Large Pocket,Generic,20.0,1.7,0.980,0.22,0.04,0.6,NORSOK P-100,SS316L,500,0.8,6.5,Phillips and Listak (1996)
AXIAL_CYCLONE,Standard Tube,Generic,3.0,4.0,0.998,0.30,0.05,5.0,NORSOK P-100,SS316L,400,1.5,25.0,Hoffmann and Stein (2008)
AXIAL_CYCLONE,High Capacity,Generic,5.0,3.5,0.995,0.45,0.08,3.5,NORSOK P-100,SS316L,400,1.5,20.0,Hoffmann and Stein (2008)
AXIAL_CYCLONE,Compact Cyclone,Generic,2.0,4.5,0.999,0.25,0.04,8.0,NORSOK P-100,SS316L/Duplex,400,2.0,30.0,Hoffmann and Stein (2008)
AXIAL_CYCLONE,Small Tube (30mm dia),Generic,1.5,5.0,0.999,0.20,0.03,10.0,NORSOK P-100,SS316L,400,2.0,35.0,Hoffmann and Stein (2008)
AXIAL_CYCLONE,Medium Tube (50mm dia),Generic,2.5,4.2,0.999,0.28,0.045,6.0,NORSOK P-100,SS316L,400,1.5,28.0,Hoffmann and Stein (2008)
AXIAL_CYCLONE,Large Tube (100mm dia),Generic,5.0,3.5,0.995,0.40,0.07,4.0,NORSOK P-100,SS316L,400,1.5,22.0,Hoffmann and Stein (2008)
AXIAL_CYCLONE,Multi-Cyclone Bundle,Generic,3.0,4.0,0.998,0.35,0.06,5.5,NORSOK P-100,SS316L,400,1.5,26.0,Hoffmann and Stein (2008)
AXIAL_CYCLONE,Recycle Type,Generic,2.0,4.5,0.999,0.22,0.035,9.0,NORSOK P-100,SS316L/Duplex,400,2.0,32.0,Hoffmann and Stein (2008)
AXIAL_CYCLONE,Duplex (sour service),Generic,3.0,4.0,0.998,0.30,0.05,5.0,NORSOK M-001,Super Duplex 2507,350,2.0,28.0,NORSOK M-001
AXIAL_CYCLONE,High Swirl Angle,Generic,1.8,4.8,0.999,0.18,0.03,12.0,NORSOK P-100,SS316L,400,2.0,33.0,Hoffmann and Stein (2008)
AXIAL_CYCLONE,Low Swirl Angle,Generic,6.0,3.0,0.990,0.50,0.10,2.5,NORSOK P-100,SS316L,400,1.5,18.0,Hoffmann and Stein (2008)
PLATE_PACK,Corrugated,Generic,50.0,2.0,0.95,0.003,0.001,0.5,,SS316L,200,0.5,15.0,Polderman et al. (1997)
PLATE_PACK,Flat Plate,Generic,80.0,2.0,0.90,0.003,0.001,0.3,,SS316L,200,0.5,12.0,Polderman et al. (1997)
PLATE_PACK,Chevron,Generic,40.0,2.0,0.97,0.004,0.001,0.8,,SS316L,200,0.6,18.0,Polderman et al. (1997)
PLATE_PACK,Corrugated 30-deg,Generic,55.0,2.0,0.94,0.003,0.001,0.4,,SS316L,200,0.5,14.0,Polderman et al. (1997)
PLATE_PACK,Corrugated 45-deg,Generic,45.0,2.0,0.96,0.004,0.001,0.6,,SS316L,200,0.5,16.0,Polderman et al. (1997)
PLATE_PACK,Corrugated 60-deg,Generic,35.0,2.0,0.97,0.004,0.001,0.9,,SS316L,200,0.6,19.0,Polderman et al. (1997)
PLATE_PACK,Fine Spacing (6mm),Generic,30.0,2.0,0.98,0.002,0.001,1.5,,SS316L,200,0.4,22.0,Polderman et al. (1997)
PLATE_PACK,Medium Spacing (20mm),Generic,60.0,2.0,0.93,0.004,0.001,0.3,,SS316L,200,0.5,13.0,Polderman et al. (1997)
PLATE_PACK,Wide Spacing (40mm),Generic,90.0,2.0,0.88,0.005,0.001,0.15,,SS316L,200,0.5,10.0,Polderman et al. (1997)
PLATE_PACK,Coalescing Media,Generic,25.0,2.0,0.98,0.002,0.001,1.0,,Polypropylene,80,0.3,8.0,Polderman et al. (1997)
PLATE_PACK,Cross-Corrugated,Generic,38.0,2.0,0.97,0.004,0.001,0.7,,SS316L,200,0.5,17.0,Polderman et al. (1997)
PLATE_PACK,Random Packing (Raschig),Generic,100.0,1.8,0.85,0.005,0.001,0.1,,Ceramic/SS,500,0.5,20.0,Arnold and Stewart (2008)
PLATE_PACK,Structured Packing,Generic,42.0,2.0,0.96,0.003,0.001,0.7,,SS316L,300,0.5,16.0,Arnold and Stewart (2008)
PLATE_PACK,Oleophilic Media,Generic,20.0,2.2,0.99,0.002,0.001,1.2,,Modified PP,80,0.3,7.0,Frising et al. (2006)
GRAVITY,Horizontal 2Phase,Generic,150.0,2.0,1.00,0.11,0.0,0.0,API 12J,,500,,0.0,Svrcek and Monnery (1993)
GRAVITY,Horizontal 3Phase,Generic,200.0,2.0,1.00,0.09,0.0,0.0,API 12J,,500,,0.0,Svrcek and Monnery (1993)
GRAVITY,Vertical Scrubber,Generic,100.0,2.0,1.00,0.07,0.0,0.0,API 12J,,500,,0.0,Svrcek and Monnery (1993)
GRAVITY,Vertical Standard,Generic,120.0,2.0,1.00,0.07,0.0,0.0,API 12J,,500,,0.0,Svrcek and Monnery (1993)
GRAVITY,Horizontal HP (>100 bar),Generic,130.0,2.0,1.00,0.09,0.0,0.0,API 12J,,500,,0.0,Arnold and Stewart (2008)
GRAVITY,Horizontal LP (<10 bar),Generic,180.0,2.0,1.00,0.12,0.0,0.0,API 12J,,500,,0.0,Arnold and Stewart (2008)
GRAVITY,Vertical HP (>100 bar),Generic,90.0,2.0,1.00,0.06,0.0,0.0,API 12J,,500,,0.0,Arnold and Stewart (2008)
GRAVITY,Vertical LP (<10 bar),Generic,130.0,2.0,1.00,0.08,0.0,0.0,API 12J,,500,,0.0,Arnold and Stewart (2008)
GRAVITY,Horizontal Elongated (L/D>5),Generic,120.0,2.0,1.00,0.11,0.0,0.0,API 12J,,500,,0.0,Svrcek and Monnery (1993)
GRAVITY,Horizontal with Boot,Generic,200.0,2.0,1.00,0.09,0.0,0.0,API 12J,,500,,0.0,Svrcek and Monnery (1993)
GRAVITY,Slug Catcher (Finger Type),Generic,250.0,2.0,1.00,0.08,0.0,0.0,API 12J,,500,,0.0,Arnold and Stewart (2008)
GRAVITY,Slug Catcher (Vessel Type),Generic,200.0,2.0,1.00,0.10,0.0,0.0,API 12J,,500,,0.0,Arnold and Stewart (2008)
GRAVITY,Gas Filter Separator,Generic,80.0,2.0,1.00,0.06,0.0,0.0,API 12J,,500,,0.0,API 12J (2014)
GRAVITY,Flare KO Drum,Generic,300.0,2.0,1.00,0.15,0.0,0.0,API 521,,500,,0.0,API 521 (2014)
