CurveId,InternalsType,VendorName,ProductFamily,TestStandard,TestFluid,TestPressure_bar,TestTemperature_C,DiameterPoints_um,EfficiencyPoints,MaxKFactor_m_s,TestDate,CertificateRef,Notes
VC012,VANE_PACK,VendorA,VP-Triple,EN 13544 / ISO 29042,Air-Water,1.0,20,1;2;3;5;8;10;12;15;20;30;50;100,0.03;0.08;0.18;0.40;0.65;0.80;0.88;0.94;0.98;0.995;0.998;0.998,0.095,2022-07-15,FAT-22-0715,Triple pocket with drain hooks
VC013,VANE_PACK,VendorB,VP-Std,EN 13544 / ISO 29042,Air-Water,1.0,20,2;5;8;10;15;20;25;30;40;50;80;100,0.03;0.10;0.22;0.35;0.58;0.76;0.85;0.90;0.95;0.97;0.99;0.99,0.155,2021-11-30,FAT-21-1430,Standard single pocket vane
VC014,VANE_PACK,VendorB,VP-HiEff,EN 13544 / ISO 29042,Air-Water,1.0,20,1;2;3;5;8;10;15;20;25;30;50;100,0.02;0.06;0.15;0.38;0.62;0.78;0.92;0.96;0.98;0.99;0.995;0.995,0.100,2021-11-30,FAT-21-1431,Multi-pocket high efficiency design
VC015,VANE_PACK,VendorC,VP-HP,EN 13544 / ISO 29042,N2-Exxsol,50.0,25,2;5;8;10;15;20;25;30;40;50;80;100,0.03;0.12;0.28;0.42;0.65;0.80;0.88;0.92;0.96;0.98;0.99;0.99,0.130,2023-06-01,FAT-23-0601,Standard vane tested at 50 bar
VC020,AXIAL_CYCLONE,VendorA,CYC-Std50,EN 13544 / ISO 29042,Air-Water,1.0,20,0.5;1;1.5;2;3;4;5;8;10;15;20;50,0.02;0.08;0.25;0.55;0.88;0.96;0.99;0.998;0.998;0.998;0.998;0.998,0.300,2022-02-10,FAT-22-0210,Standard 50 mm tube diameter
VC021,AXIAL_CYCLONE,VendorA,CYC-Compact30,EN 13544 / ISO 29042,Air-Water,1.0,20,0.3;0.5;1;1.5;2;3;4;5;8;10;15;50,0.02;0.05;0.18;0.42;0.68;0.92;0.98;0.995;0.999;0.999;0.999;0.999,0.250,2022-02-10,FAT-22-0211,Compact 30 mm tube diameter
VC022,AXIAL_CYCLONE,VendorA,CYC-HiCap100,EN 13544 / ISO 29042,Air-Water,1.0,20,1;2;3;5;8;10;15;20;30;50;80;100,0.03;0.10;0.22;0.50;0.82;0.92;0.97;0.99;0.995;0.995;0.995;0.995,0.450,2022-08-30,FAT-22-0830,High capacity 100 mm tube
VC023,AXIAL_CYCLONE,VendorB,CYC-Std,EN 13544 / ISO 29042,Air-Water,1.0,20,0.5;1;1.5;2;3;4;5;8;10;15;20;50,0.03;0.10;0.28;0.58;0.90;0.96;0.99;0.998;0.998;0.998;0.998;0.998,0.320,2021-12-15,FAT-21-1515,Standard axial cyclone tube
VC024,AXIAL_CYCLONE,VendorB,CYC-Recycle,EN 13544 / ISO 29042,Air-Water,1.0,20,0.3;0.5;1;1.5;2;3;5;8;10;15;20;50,0.02;0.06;0.22;0.48;0.72;0.94;0.99;0.999;0.999;0.999;0.999;0.999,0.220,2021-12-15,FAT-21-1516,Recycle-type with liquid return
VC025,AXIAL_CYCLONE,VendorC,CYC-HP,EN 13544 / ISO 29042,N2-Exxsol,50.0,25,0.5;1;2;3;5;8;10;15;20;30;50;100,0.05;0.15;0.42;0.68;0.92;0.98;0.99;0.998;0.998;0.998;0.998;0.998,0.280,2023-07-20,FAT-23-0720,Standard cyclone tested at 50 bar
VC030,PLATE_PACK,VendorD,PP-Corrugated45,In-house test,Kerosene-Water,1.0,20,5;10;20;30;50;80;100;150;200;300;500;1000,0.01;0.05;0.15;0.30;0.55;0.80;0.88;0.94;0.95;0.95;0.95;0.95,0.004,2022-10-05,FAT-22-1005,Corrugated 45-deg 10 mm spacing
VC031,PLATE_PACK,VendorD,PP-Fine6mm,In-house test,Kerosene-Water,1.0,20,3;5;10;15;20;30;50;80;100;150;200;500,0.02;0.06;0.18;0.35;0.52;0.75;0.90;0.96;0.98;0.98;0.98;0.98,0.002,2022-10-05,FAT-22-1006,Fine 6 mm spacing corrugated plate
VC032,PLATE_PACK,VendorD,PP-Coalescing,In-house test,Crude-Water,1.0,40,2;5;10;15;20;30;50;80;100;150;200;500,0.03;0.08;0.22;0.40;0.58;0.82;0.94;0.98;0.99;0.99;0.99;0.99,0.002,2023-03-15,FAT-23-0315,Oleophilic coalescing media pack
