family,representative_apis,chapter,artifact,example_calculation,coverage_depth,coverage_status,coverage_score,primary_chapter
"Valves, throttling, relief and pressure letdown",ThrottlingValve; SafetyValve; ReliefValveSizing; DepressurizationSimulator,ch19_materials_embrittlement_hydrogen_service; ch20_safety_standards_and_risk,parameter_study.ipynb; process_calculation_coverage_review.py,"Pressure-letdown, vent/source-term, relief-load and operability-margin screening entries.",safety screening script,covered,0.78,ch19_materials_embrittlement_hydrogen_service
"Pumps, liquid water handling and tank inventory",Pump; Tank; Stream; water systems,ch05_feedstocks_and_fluids; ch13_green_hydrogen_plant,parameter_study.ipynb; process_calculation_coverage_review.py,"Water make-up, purification recovery, stack-feed and storage/inventory screening.",chapter parameter study,covered,0.85,ch05_feedstocks_and_fluids
"Mixing, splitting, recycle and adjuster workflows",Mixer; StaticMixer; Splitter; Recycle; Adjuster; SetPoint; ProcessSystem,ch09_reforming_flowsheets; ch23_optimization_automation_digital_twins; ch24_capstone_blue_hydrogen_python_study,parameter_study.ipynb; process_calculation_coverage_review.py,"Route flowsheet wiring, recycle/adjuster convergence and scenario setup for capstone studies.",flowsheet and automation scripts,covered,0.85,ch09_reforming_flowsheets
"Pipeline hydraulics, linepack and gas transport",PipeBeggsAndBrills; AdiabaticPipe; TwoFluidPipe; Standard_ISO6976,ch15_pipeline_transport_linepack,parameter_study.ipynb; companion workflow notebook,"Hydrogen pressure/temperature profile, linepack index, Wobbe index and relative density checks.",chapter and companion notebook,covered,0.9,ch15_pipeline_transport_linepack
"CO2 capture, dense-phase transport and injection well envelope",ComponentCaptureUnit; CO2InjectionWellAnalyzer; ImpurityMonitor; CO2FlowCorrections,ch08_phase_behavior_with_co2_water_impurities; ch12_blue_hydrogen_and_ccs,parameter_study.ipynb,"Captured CO2 mass flow, dense-phase margin, impurity enrichment and injection-envelope screening.",chapter parameter study,covered,0.85,ch08_phase_behavior_with_co2_water_impurities
"Flow assurance, hydrate/water/impurity screening",hydrateEquilibriumTemperature; waterDewPointTemperature; ImpurityMonitor; PipeBeggsAndBrills,ch08_phase_behavior_with_co2_water_impurities; ch15_pipeline_transport_linepack,parameter_study.ipynb,"Hydrate, water knock-out, impurity and transport-interface attention tables for H2/CO2 systems.",screening parameter study,covered,0.8,ch08_phase_behavior_with_co2_water_impurities
"Materials, mechanical design and hydrogen service review",CompressorDesignFeasibilityReport; HeatExchangerDesignFeasibilityReport; standards classes,ch19_materials_embrittlement_hydrogen_service; ch20_safety_standards_and_risk,parameter_study.ipynb,"H2 partial pressure, temperature, cyclic pressure, leak source term and standards-attention screening.",standards/materials screening,covered,0.75,ch19_materials_embrittlement_hydrogen_service
"Safety, flare, dispersion, depressuring and QRA handoff",ReliefValveSizing; Flare; DepressurizationSimulator; fire/dispersion/QRA packages,ch20_safety_standards_and_risk,parameter_study.ipynb; process_calculation_coverage_review.py,"Pressure-source-term sweep with materials attention, operability margin and external safety handoff fields.",safety screening script,covered,0.78,ch20_safety_standards_and_risk
"Dynamic operation, controls, instruments and alarms",runTransient; DynamicProcessHelper; ControllerDeviceBaseClass; transmitters; AlarmConfig,ch13_green_hydrogen_plant; ch21_operability_and_dynamics; ch23_optimization_automation_digital_twins,parameter_study.ipynb; process_calculation_coverage_review.py,"Part-load/ramping, turndown, controller/instrument and alarm-check coverage for hydrogen operation.",automation and operability screening,covered,0.75,ch13_green_hydrogen_plant
"Automation API, model state and digital twins",ProcessAutomation; ProcessSystemState; ProcessModelState; tagreader,ch02_neqsim_architecture_for_hydrogen; ch23_optimization_automation_digital_twins,parameter_study.ipynb; process_calculation_coverage_review.py,"Scenario count, dirty tracking, addressable variables, historian mismatch and reproducibility evidence.",automation script,covered,0.75,ch02_neqsim_architecture_for_hydrogen
"Optimization, DOE, uncertainty and Monte Carlo",BatchStudy; MonteCarloSimulator; ProcessSimulationEvaluator; optimizers,ch22_cost_estimation_and_project_economics; ch23_optimization_automation_digital_twins; ch25_capstone_green_hydrogen_portfolio,parameter_study.ipynb,"Scenario sweep, portfolio comparison, cost sensitivity and confidence/coverage curves.",chapter parameter study,covered,0.85,ch22_cost_estimation_and_project_economics
"Cost, emissions, economics and lifecycle metrics",CostEstimationCalculator; DCFCalculator; ElectrolyzerCostEstimate; PSACostEstimate; SustainabilityMetrics,ch22_cost_estimation_and_project_economics; ch24_capstone_blue_hydrogen_python_study; ch25_capstone_green_hydrogen_portfolio,parameter_study.ipynb,"CAPEX/OPEX/LCOH scale sweep, carbon-intensity index and portfolio economics.",chapter parameter study,covered,0.85,ch22_cost_estimation_and_project_economics
"Alternative routes: biomass, waste, pyrolysis, photo and bio H2",BiomassGasifier; PyrolysisReactor; AnaerobicDigester; FermentationReactor; BiogasUpgrader,ch01_why_hydrogen_modeling; ch05_feedstocks_and_fluids; ch06_reaction_equilibrium_and_kinetics,topic_examples CSV; parameter_study.ipynb,"Frontier-route boundary examples for pyrolysis, biomass/waste gasification and photo/biological hydrogen.",literature-topic calculation map,covered,0.7,ch01_why_hydrogen_modeling
"Reporting, validation, JSON export and submission artifacts",TaskResultValidator; results.json; PaperLab renderers; ProcessModel reports,ch03_python_environment_and_reproducibility; ch23_optimization_automation_digital_twins; capstones,parameter_study.ipynb; book-check; book-build outputs,Every chapter writes CSV/JSON/PNG evidence and the build validates rendered submission artifacts.,book-level validation workflow,covered,0.9,ch03_python_environment_and_reproducibility
