"ID","REACINDEX","REACNAME","COMPNAME","STOCCOEF"
218,42,"Sulfide","water",1
219,42,"Sulfide","HS-",1
220,43,"Bisulfide","HS-",-1
221,43,"Bisulfide","OH-",-1
222,43,"Bisulfide","water",1
223,43,"Bisulfide","S--",1
224,44,"Piperazinediprotonation","water",-1
225,44,"Piperazinediprotonation","Piperazine++",-1
226,44,"Piperazinediprotonation","Piperazine+",1
227,44,"Piperazinediprotonation","H3O+",1
228,45,"Piperazinemonocarbamante","Piperazine",-1
229,45,"Piperazinemonocarbamante","HCO3-",-1
230,45,"Piperazinemonocarbamante","water",1
231,45,"Piperazinemonocarbamante","PZCOO-",1
232,46,"Piperazinedicarbamate","PZCOO-",-1
233,46,"Piperazinedicarbamate","HCO3-",-1
234,46,"Piperazinedicarbamate","water",1
235,46,"Piperazinedicarbamate","-OOCPZCOO-",1
236,47,"Pzmonocarbamateprotonation","water",-1
237,47,"Pzmonocarbamateprotonation","H+PZCOO-",-1
238,47,"Pzmonocarbamateprotonation","PZCOO-",1
239,47,"Pzmonocarbamateprotonation","H3O+",1
240,48,"H2SMDEAsolbraa","MDEA",-1
241,48,"H2SMDEAsolbraa","H2S",-1
242,48,"H2SMDEAsolbraa","MDEA+",1
243,48,"H2SMDEAsolbraa","HS-",1
244,49,"methanecombustion","methane",-1
245,49,"methanecombustion","oxygen",-2
246,49,"methanecombustion","CO2",1
247,49,"methanecombustion","water",2
