ID,COMP1,COMP2,HVTYPE,KIJSRK,KIJTSRK,KIJTType,KIJPR,KIJTPR,KIJPCSAFT,HVALPHA,HVGIJ,HVGJI,CalcWij,W1,W2,W3,WSTYPE,KIJWS,NRTLALPHA,NRTLGIJ,NRTLGJI,GIJVISC,HVGIJT,HVGJIT,WSGIJT,WSGJIT,cpakij_SRK,cpakijT_SRK,cpakijx_SRK,cpakjix_SRK,cpakij_PR,KIJWSunifac,aijDesMath,bijDesMath,cpaAssosiationType,cpaBetaCross,cpaEpsCross,KIJWhitsonSoriede
6944,HCOOCs,methane,Classic,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6945,helium,methane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6946,hydrogen,methane,Classic,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,0,0,0,0,0,0,0
6947,nitrogen,methane,Classic,0.0319,0,0,0.0319,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,0,0,0,0,0,0,0
6948,argon,methane,Classic,0.0252,0,0,0.0252,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0.0252,0,0.0252,0.0252,0.0252,0,0,0,0,0,0,0
6949,oxygen,methane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6950,CO2,methane,Classic,0.0973,0,0,0.0973,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0.0973,0,0.0973,0.0973,0.0956,0,0,0,1,0.085,0,0
6951,H2S,methane,Classic,0.085,0,0,0.08,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0.08,0,0.08,0.08,0.08,0,0,0,0,0,0,0
6952,ethane,methane,Classic,0.00295295,0,0,0.00295295,0,0,0,0,0,0,0,0,0,Classic,0.029890022,0,0,0,0,0,0,0,0,0.00295295,0,0.00295295,0.00295295,0.00295295,0,0,0,0,0,0,0
6953,propane,methane,Classic,0.00747722,0,0,0.00747722,0,0,0,0,0,0,0,0,0,Classic,0.131666934,0,0,0,0,0,0,0,0,0.00747722,0,0.00747722,0.00747722,0.00747722,0,0,0,0,0,0,0
6954,c-propane,methane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6955,i-butane,methane,Classic,0.01369935,0,0,0.01369935,0,0,0,0,0,0,0,0,0,Classic,0.245598745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6956,n-butane,methane,Classic,0.01289789,0,0,0.01289789,0,0,0,0,0,0,0,0,0,Classic,0.222563826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6957,"2,2-diomC3",methane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6958,c-C4,methane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6959,i-pentane,methane,Classic,0.01817552,0,0,0.01817552,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6960,n-pentane,methane,Classic,0.01847102,0,0,0.01847102,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6961,c-pentane,methane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6962,"2,2-dim-C4",methane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6963,"2,3-dimC4",methane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6964,2-m-C5,methane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6965,3-m-C5,methane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6966,n-hexane,methane,Classic,0.023474067,0,0,0.023474067,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6968,m-c-C5,methane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6969,benzene,methane,Classic,0.0209,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0.0209,0,0.0209,0.0209,0,0,0,0,0,0,0,0
6970,c-hexane,methane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6971,223-tm-C4,methane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6972,"3,3-dim-C5",methane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6973,n-heptane,methane,Classic,0.0307,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6974,m-c-C6,methane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6975,et-c-C5,methane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6976,toluene,methane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6977,c-c7,methane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6978,11-dm-c-C6,methane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6979,c-c8,methane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6980,c-12-dmcC6,methane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6981,et-benzene,methane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6982,MDEA+,methane,Classic,0,0,0,0,0,0,0,0,0,1,0.000123,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6983,H3O+,methane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6984,MDEA,methane,Classic,0.599959902,0,0,0.646504377,0,0,0.122,2467,274,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6985,HCO3-,methane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6986,OH-,methane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6987,Na+,methane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6988,Cl-,methane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6989,Ca++,methane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6990,Li+,methane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6991,Br-,methane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6992,NH4+,methane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6993,CO3--,methane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6994,DEACOO-,methane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6995,DEA,methane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6996,DEA+,methane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6997,BEA,methane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6998,BEA+,methane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6999,BEACOO-,methane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7000,K+,methane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7001,HS-,methane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7002,S--,methane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7003,I-,methane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7004,Mg++,methane,Classic,0,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7005,Ba++,methane,Classic,0,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7006,Sr++,methane,Classic,0,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7007,methanol,ethane,HV,0.19,0,0,0.19,0,0,0.395,2005,494,0,0,0,0,WS,0.19,0.395,2005,494,0,0,0,0,0,0.014,0,0.014,0.014,0.014,0,0,0,0,0,0,0
7008,ethanol,ethane,HV,0.19,0,0,0.19,0,0,0.395,2005,494,0,0,0,0,WS,0.19,0.395,2005,494,0,0,0,0,0,-0.055,0,-0.055,-0.055,-0.055,0,0,0,0,0,0,0
7009,MEG,ethane,Classic,0.2,0,0,0.2,0,0,0.3656,2063,601.7,0,0,0,0,Classic,0.2,0.3656,2063,601.7,0,0,0,0,0,0.1153,0,0.1153,0.1153,0.1153,0,0,0,0,0,0,0
7010,DEG,ethane,Classic,0.2,0,0,0.2,0,0,0.3656,2063,601.7,0,0,0,0,Classic,0.2,0.3656,2063,601.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7011,TEG,ethane,Classic,0.2,0,0,0.2,0,0,0.3656,2063,601.7,0,0,0,0,Classic,0.2,0.3656,2063,601.7,0,0,0,0,0,0.11,0,0.11,0.11,0.11,0,0,0,0,0,0,0
7012,NaCl,ethane,Classic,0.78,0,0,0.78,0,0,0.062,12235,4227,0,0,0,0,Classic,0.78,0.062,12235,4227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7013,KCl,ethane,Classic,1.33,0,0,1.33,0,0,0.021,24788,50127,0,0,0,0,Classic,1.33,0.021,24788,50127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7014,CaCl2,ethane,Classic,1.18,0,0,1.18,0,0,0.0364,99000,3080,0,0,0,0,Classic,1.18,0.0364,99000,3080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7015,HCOONa,ethane,Classic,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7016,HCOOK,ethane,Classic,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7017,HCOOCs,ethane,Classic,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,Classic,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7018,helium,ethane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7019,hydrogen,ethane,Classic,0.0367,0,0,0.0367,0,0,0,0,0,0,0,0,0,Classic,0.0367,0,0,0,0,0,0,0,0,0.0367,0,0.0367,0.0367,0.0367,0,0,0,0,0,0,0
7020,nitrogen,ethane,Classic,0.0388,0,0,0.0388,0,0,0,0,0,0,0,0,0,Classic,0.06,0,0,0,0,0,0,0,0,0.031899,0,0.031899,0.031899,0.031899,0,0,0,0,0,0,0
7021,Ar,ethane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7022,oxygen,ethane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7023,CO2,ethane,Classic,0.1346,0,0,0.12980001,0,0,0,0,0,0,0,0,0,Classic,0.12,0,0,0,0,0,0,0,0,0.12,0,0.12,0.12,0.12,0,0,0,0,0,0,0
7024,H2S,ethane,Classic,0.0829,0,0,0.07,0,0,0,0,0,0,0,0,0,Classic,0.07,0,0,0,0,0,0,0,0,0.07,0,0.07,0.07,0.07,0,0,0,0,0,0,0
7025,propane,ethane,Classic,0.00185286,0,0,0.00185286,0,0,0,0,0,0,0,0,0,Classic,0.048134573,0,0,0,0,0,0,0,0,0.00185286,0,0.00185286,0.00185286,0.00185286,0,0,0,0,0,0,0
7026,c-propane,ethane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7027,i-butane,ethane,Classic,0.00511365,0,0,0.00511365,0,0,0,0,0,0,0,0,0,Classic,0.138621605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7028,n-butane,ethane,Classic,0.00464288,0,0,0.00464288,0,0,0,0,0,0,0,0,0,Classic,0.137552316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7029,"2,2-diomC3",ethane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7030,c-C4,ethane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7031,i-pentane,ethane,Classic,0.00791956,0,0,0.00791956,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7032,n-pentane,ethane,Classic,0.00811359,0,0,0.00811359,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7033,c-pentane,ethane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7034,"2,2-dim-C4",ethane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7035,"2,3-dimC4",ethane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7036,2-m-C5,ethane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7037,3-m-C5,ethane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7038,n-hexane,ethane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7040,m-c-C5,ethane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7041,benzene,ethane,Classic,0.0289,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7042,c-hexane,ethane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7043,223-tm-C4,ethane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7044,"3,3-dim-C5",ethane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7045,n-heptane,ethane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7046,m-c-C6,ethane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7047,et-c-C5,ethane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7048,toluene,ethane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7049,c-c7,ethane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7050,11-dm-c-C6,ethane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7051,c-c8,ethane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7052,c-12-dmcC6,ethane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7053,et-benzene,ethane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7054,MDEA+,ethane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7055,H3O+,ethane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7056,MDEA,ethane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7057,HCO3-,ethane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7058,OH-,ethane,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,Classic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7059,Na+,ethane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
7060,Cl-,ethane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
7061,Ca++,ethane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
7062,Li+,ethane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
7063,Br-,ethane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
7064,NH4+,ethane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
7065,CO3--,ethane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
7066,DEACOO-,ethane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
7067,DEA,ethane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
7068,DEA+,ethane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
7069,BEA,ethane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
7070,BEA+,ethane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
7071,BEACOO-,ethane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
7072,K+,ethane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
7073,HS-,ethane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
7074,S--,ethane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
7075,I-,ethane,Classic,1,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
7076,Mg++,ethane,Classic,0,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7077,Ba++,ethane,Classic,0,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7078,Sr++,ethane,Classic,0,0,0,1,0,0,0,0,0,0,0,0,0,Classic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
