"STANDARD_CODE","VERSION","EQUIPMENTTYPE","SPECIFICATION","MINVALUE","MAXVALUE","UNIT","DESCRIPTION"
"DNV-ST-F101","2021","Pipeline","AlphaU_SMYS",1.00,1.00,"-","Material strength factor alpha_U for SMYS"
"DNV-ST-F101","2021","Pipeline","FabricationFactor",1.00,1.00,"-","Fabrication factor for seamless"
"DNV-ST-F101","2021","Pipeline","MinWallThickness",6.35,6.35,"mm","Minimum wall thickness for handling"
"DNV-ST-F101","2021","Pipeline","HydroTestFactor",1.50,1.50,"-","Hydrostatic test pressure factor"
"DNV-ST-F101","2021","MultiphasePipe","UsageFactor",0.77,0.90,"-","Usage factor range"
"DNV-ST-F101","2021","MultiphasePipe","CorrosionAllowance",3.00,6.00,"mm","Corrosion allowance"
"DNV-ST-F101","2021","AdiabaticPipe","UsageFactor",0.77,0.90,"-","Usage factor range"
"DNV-ST-F101","2021","TransientPipe","UsageFactor",0.77,0.90,"-","Usage factor range"
"DNV-RP-F105","2021","Pipeline","FatigueDesignFactor",3.00,10.00,"-","Fatigue design factor per safety class"
"DNV-RP-F105","2021","Pipeline","VIVAllowableStress",0.60,0.60,"-","VIV allowable stress factor"
"DNV-RP-F105","2021","Pipeline","MaxSpanLength",30.00,150.00,"m","Typical free span length range"
"DNV-RP-C203","2021","Pipeline","SNCurveParameter",12.164,12.164,"-","S-N curve parameter for steel in seawater"
"ISO-3183","2019","Pipeline","PSL1_SMYS",175.00,555.00,"MPa","Product specification level 1"
"ISO-3183","2019","Pipeline","PSL2_SMYS",245.00,555.00,"MPa","Product specification level 2"
"ISO-3183","2019","Pipeline","JointFactor",1.00,1.00,"-","Joint factor for seamless"
"ISO-3183","2019","Pipeline","FabricationTolerance",0.10,0.125,"-","Wall thickness tolerance"
"ISO-3183","2019","MultiphasePipe","PSL2_SMYS",245.00,555.00,"MPa","Product specification level 2"
