"STANDARD_CODE","VERSION","EQUIPMENTTYPE","SPECIFICATION","MINVALUE","MAXVALUE","UNIT","DESCRIPTION"
"API-660","9th Ed","HeatExchanger","MaxPressure",0.00,300.00,"barg","Maximum design pressure"
"API-660","9th Ed","HeatExchanger","MaxTemperature",-196.00,538.00,"C","Temperature range"
"API-660","9th Ed","HeatExchanger","CorrosionAllowance",1.50,3.00,"mm","Corrosion allowance"
"API-661","7th Ed","Cooler","MaxPressure",0.00,150.00,"barg","Maximum design pressure"
"API-661","7th Ed","Cooler","MaxTemperature",-46.00,427.00,"C","Temperature range"
"API-5L","46th Ed","Pipeline","MinYieldStrength",175.00,555.00,"MPa","Yield strength range (Grade B to X80)"
"API-5L","46th Ed","Pipeline","JointEfficiency",1.00,1.00,"-","Seamless pipe"
"API-5L","46th Ed","Pipe","MinYieldStrength",175.00,555.00,"MPa","Yield strength range"
"API-5L","46th Ed","Pipeline","FabricationTolerance",0.10,0.125,"-","Wall thickness tolerance 10-12.5%"
"API-5L","46th Ed","Pipeline","GradeB_SMYS",241.00,241.00,"MPa","Grade B minimum yield (35000 psi)"
"API-5L","46th Ed","Pipeline","X42_SMYS",290.00,290.00,"MPa","Grade X42 minimum yield (42000 psi)"
"API-5L","46th Ed","Pipeline","X46_SMYS",317.00,317.00,"MPa","Grade X46 minimum yield (46000 psi)"
"API-5L","46th Ed","Pipeline","X52_SMYS",359.00,359.00,"MPa","Grade X52 minimum yield (52000 psi)"
"API-5L","46th Ed","Pipeline","X56_SMYS",386.00,386.00,"MPa","Grade X56 minimum yield (56000 psi)"
"API-5L","46th Ed","Pipeline","X60_SMYS",414.00,414.00,"MPa","Grade X60 minimum yield (60000 psi)"
"API-5L","46th Ed","Pipeline","X65_SMYS",448.00,448.00,"MPa","Grade X65 minimum yield (65000 psi)"
"API-5L","46th Ed","Pipeline","X70_SMYS",483.00,483.00,"MPa","Grade X70 minimum yield (70000 psi)"
"API-5L","46th Ed","Pipeline","X80_SMYS",552.00,552.00,"MPa","Grade X80 minimum yield (80000 psi)"
"API-5L","46th Ed","Pipeline","GradeB_SMTS",414.00,414.00,"MPa","Grade B minimum tensile (60000 psi)"
"API-5L","46th Ed","Pipeline","X42_SMTS",414.00,414.00,"MPa","Grade X42 minimum tensile (60000 psi)"
"API-5L","46th Ed","Pipeline","X52_SMTS",455.00,455.00,"MPa","Grade X52 minimum tensile (66000 psi)"
"API-5L","46th Ed","Pipeline","X60_SMTS",517.00,517.00,"MPa","Grade X60 minimum tensile (75000 psi)"
"API-5L","46th Ed","Pipeline","X65_SMTS",531.00,531.00,"MPa","Grade X65 minimum tensile (77000 psi)"
"API-5L","46th Ed","Pipeline","X70_SMTS",565.00,565.00,"MPa","Grade X70 minimum tensile (82000 psi)"
"API-5L","46th Ed","Pipeline","X80_SMTS",621.00,621.00,"MPa","Grade X80 minimum tensile (90000 psi)"
"API-5L","46th Ed","MultiphasePipe","MinYieldStrength",175.00,555.00,"MPa","Yield strength range"
"API-5L","46th Ed","TransientPipe","MinYieldStrength",175.00,555.00,"MPa","Yield strength range"
"API-5L","46th Ed","AdiabaticPipe","MinYieldStrength",175.00,555.00,"MPa","Yield strength range"
"API-5CT","10th Ed","Well Casing","MinYieldStrength",379.00,862.00,"MPa","Casing grade range J-55 to Q-125"
"API-5CT","10th Ed","Well Tubing","MinYieldStrength",379.00,862.00,"MPa","Tubing grade range"
"API-1104","22nd Ed","Pipeline","WeldQuality",1.00,1.00,"-","Weld quality requirement"
"API-1104","22nd Ed","Pipeline","InspectionCoverage",10.00,100.00,"%","Radiographic inspection coverage"
"API-610","12th Ed","Pump","DriverMarginSmall",1.25,1.25,"-","Driver margin for pumps < 22 kW"
"API-610","12th Ed","Pump","DriverMarginMedium",1.15,1.15,"-","Driver margin for pumps 22-55 kW"
"API-610","12th Ed","Pump","DriverMarginLarge",1.10,1.10,"-","Driver margin for pumps > 55 kW"
"API-610","12th Ed","Pump","NPSHMargin",0.50,1.00,"m","NPSH safety margin"
"API-610","12th Ed","Pump","MinEfficiency",0.60,0.85,"-","Typical pump efficiency range"
"API-610","12th Ed","Pump","MaxTipSpeed",50.00,70.00,"m/s","Maximum impeller tip speed"
"API-610","12th Ed","Pump","MinShaftDiameter",25.00,150.00,"mm","Shaft diameter range"
"API-610","12th Ed","Pump","CasingDesignPressureMargin",1.10,1.10,"-","Casing design pressure margin"
"API-610","12th Ed","Pump","MaxAllowableNozzleLoads",1.00,2.00,"x API","Nozzle load factor vs API 610 Table 4"
"API-610","12th Ed","Pump","MinBearingLife",25000,25000,"hours","L10 bearing life minimum"
"API-610","12th Ed","Pump","MaxCasingVibration",3.00,4.50,"mm/s","Maximum casing vibration RMS"
"API-610","12th Ed","Pump","MaxShaftVibration",25.00,50.00,"um","Maximum shaft vibration peak-to-peak"
"API-610","12th Ed","Pump","SuctionSpecificSpeedMax",11000,13000,"-","Maximum suction specific speed Nss"
"API-610","12th Ed","Pump","ThermalMargin",20.00,30.00,"C","Thermal design margin"
"API-674","3rd Ed","ReciprocatingPump","DesignPressureMargin",1.10,1.25,"-","Design pressure margin"
"API-674","3rd Ed","ReciprocatingPump","ValveSpringLife",10000,10000,"hours","Minimum valve spring life"
"API-674","3rd Ed","ReciprocatingPump","PlungerSpeed",1.50,3.00,"m/s","Typical plunger speed range"
"API-675","3rd Ed","MeteringPump","AccuracyClass",0.50,1.00,"%","Accuracy class range"
"API-675","3rd Ed","MeteringPump","RepeatabilityClass",0.25,0.50,"%","Repeatability range"
"API-675","3rd Ed","MeteringPump","TurndownRatio",10.00,100.00,"-","Turndown ratio range"
"API-682","4th Ed","MechanicalSeal","LeakageRate",0.00,10.00,"ml/hr","Maximum allowable leakage"
"API-682","4th Ed","MechanicalSeal","DesignLife",25000,50000,"hours","Expected seal life"
"API-682","4th Ed","MechanicalSeal","FlushPlanFlow",1.00,5.00,"l/min","Typical flush plan flow"
"API-RP-17A","5th Ed","SubseaManifold","DesignLife",20.00,30.00,"years","Design life for subsea manifolds"
"API-RP-17A","5th Ed","SubseaManifold","TestPressureFactor",1.50,1.50,"-","Factory acceptance test pressure factor"
"API-RP-17A","5th Ed","SubseaManifold","MinWallThickness",6.35,6.35,"mm","Minimum wall thickness"
"API-RP-17A","5th Ed","SubseaManifold","CorrosionAllowance",3.00,6.00,"mm","Corrosion allowance range"
"API-RP-17A","5th Ed","SubseaManifold","MaterialClass","6A","6A","-","Material class per API 6A"
"API-RP-17A","5th Ed","SubseaManifold","TemperatureClass","P","U","-","Temperature class range"
"API-6A","21st Ed","SubseaValve","PressureRating",2000.00,20000.00,"psi","Working pressure range"
"API-6A","21st Ed","SubseaValve","MaterialClass","AA","HH","-","Material class range"
"API-6A","21st Ed","SubseaValve","PerformanceRequirement","PR1","PR2","-","Performance requirement level"
"API-RP-14E","5th Ed","Manifold","ErosionalCFactor",100.00,150.00,"-","C-factor for erosional velocity"
"API-RP-14E","5th Ed","Manifold","MaxGasVelocity",18.00,25.00,"m/s","Maximum gas velocity"
"API-RP-14E","5th Ed","Manifold","MaxLiquidVelocity",3.00,5.00,"m/s","Maximum liquid velocity"
"API-RP-14E","5th Ed","Manifold","MaxMultiphaseVelocity",15.00,20.00,"m/s","Maximum multiphase velocity"
