"STANDARD_CODE","VERSION","EQUIPMENTTYPE","SPECIFICATION","MINVALUE","MAXVALUE","UNIT","DESCRIPTION"
"NORSOK-P-001","Rev 5","GasScrubber","DesignPressureMargin",1.10,1.10,"-","Design pressure margin"
"NORSOK-P-001","Rev 5","GasScrubber","CorrosionAllowance",3.00,3.00,"mm","Corrosion allowance"
"NORSOK-P-002","Rev 5","Compressor","DesignPowerMargin",1.05,1.10,"-","Design power margin"
"NORSOK-P-002","Rev 5","Compressor","SurgeMargin",10.00,10.00,"%","Minimum surge margin"
"NORSOK-M-001","Rev 6","Pipeline","MinDesignTemperature",-46.00,-46.00,"C","Minimum design temperature for carbon steel"
"NORSOK-M-001","Rev 6","Pipeline","MaxDesignTemperature",150.00,150.00,"C","Maximum design temperature"
"NORSOK-M-001","Rev 6","Separator","MinDesignTemperature",-46.00,-46.00,"C","Minimum design temperature"
"NORSOK-M-001","Rev 6","Separator","MaxDesignTemperature",150.00,150.00,"C","Maximum design temperature"
"NORSOK-L-001","Rev 6","MultiphasePipe","DesignPressureMargin",1.10,1.10,"-","Design pressure margin"
"NORSOK-L-001","Rev 6","MultiphasePipe","CorrosionAllowance",3.00,6.00,"mm","Corrosion allowance range"
"NORSOK-L-001","Rev 6","AdiabaticPipe","DesignPressureMargin",1.10,1.10,"-","Design pressure margin"
"NORSOK-L-001","Rev 6","TransientPipe","DesignPressureMargin",1.10,1.10,"-","Design pressure margin"
"NORSOK-L-002","Rev 4","Pipeline","PigLauncherLength",3.00,5.00,"m","Pig launcher barrel length"
"NORSOK-L-002","Rev 4","Pipeline","PigReceiverLength",3.00,5.00,"m","Pig receiver barrel length"
"NORSOK-L-002","Rev 4","Pipeline","MinBendRadius",5.00,5.00,"-","Minimum bend radius as multiple of OD"
"NORSOK-M-001","Rev 6","MultiphasePipe","MinDesignTemperature",-46.00,-46.00,"C","Minimum design temperature"
"NORSOK-M-001","Rev 6","AdiabaticPipe","MinDesignTemperature",-29.00,-29.00,"C","Minimum design temperature"
"NORSOK-M-630","Rev 8","Pipeline","MaterialTestingImpact",-46.00,-46.00,"C","Charpy impact test temperature"
"NORSOK-M-630","Rev 8","Pipeline","HardnessLimit",248.00,248.00,"HV10","Maximum hardness for sour service"
"NORSOK-M-630","Rev 8","Pipeline","SourServiceH2S",0.05,0.05,"bar","H2S partial pressure limit"
"NORSOK-U-001","Rev 4","Pipeline","SubseaDesignLife",25.00,30.00,"years","Typical subsea design life"
"NORSOK-U-001","Rev 4","Pipeline","OperatingLifeFatigue",20.00,25.00,"years","Operating life for fatigue"
"NORSOK-L-002","Rev 4","TopsidePiping","SupportSpacingSmall",2.70,2.70,"m","Support spacing for OD <= 114mm"
"NORSOK-L-002","Rev 4","TopsidePiping","SupportSpacingMedium",3.70,3.70,"m","Support spacing for 114 < OD <= 219mm"
"NORSOK-L-002","Rev 4","TopsidePiping","SupportSpacingLarge",4.30,4.30,"m","Support spacing for 219 < OD <= 324mm"
"NORSOK-L-002","Rev 4","TopsidePiping","SupportSpacingXLarge",5.00,5.00,"m","Support spacing for OD > 324mm"
"NORSOK-L-002","Rev 4","TopsidePiping","MaxGasVelocity",20.00,30.00,"m/s","Maximum gas velocity"
"NORSOK-L-002","Rev 4","TopsidePiping","MaxLiquidVelocity",3.00,5.00,"m/s","Maximum liquid velocity"
"NORSOK-L-002","Rev 4","TopsidePiping","MaxMultiphaseVelocity",15.00,20.00,"m/s","Maximum multiphase velocity"
"NORSOK-L-002","Rev 4","TopsidePiping","NoiseVelocityLimit",40.00,60.00,"m/s","Velocity limit for noise"
"NORSOK-L-002","Rev 4","Manifold","SupportSpacingSmall",2.70,2.70,"m","Support spacing for OD <= 114mm"
"NORSOK-L-002","Rev 4","Manifold","SupportSpacingMedium",3.70,3.70,"m","Support spacing for 114 < OD <= 219mm"
"NORSOK-L-002","Rev 4","Manifold","SupportSpacingLarge",4.30,4.30,"m","Support spacing for 219 < OD <= 324mm"
"NORSOK-L-002","Rev 4","Manifold","SupportSpacingXLarge",5.00,5.00,"m","Support spacing for OD > 324mm"
"NORSOK-L-002","Rev 4","Manifold","MaxGasVelocity",20.00,25.00,"m/s","Maximum gas velocity in headers"
"NORSOK-L-002","Rev 4","Manifold","MaxLiquidVelocity",3.00,5.00,"m/s","Maximum liquid velocity"
"NORSOK-L-002","Rev 4","Manifold","MaxMultiphaseVelocity",15.00,20.00,"m/s","Maximum multiphase velocity"
"NORSOK-L-002","Rev 4","Manifold","BranchAngleMin",45.00,90.00,"deg","Branch connection angle minimum"
"NORSOK-L-002","Rev 4","Manifold","HeaderLengthMin",5.00,10.00,"m","Minimum header length"
"NORSOK-P-001","Rev 5","Pump","DesignPressureMargin",1.10,1.10,"-","Design pressure margin"
"NORSOK-P-001","Rev 5","Pump","DesignTemperatureMargin",20.00,30.00,"C","Design temperature margin"
"NORSOK-P-001","Rev 5","Pump","NPSHMargin",0.50,1.00,"m","NPSH safety margin"
"NORSOK-P-001","Rev 5","Pump","MinEfficiency",0.70,0.85,"-","Minimum pump efficiency"
"NORSOK-P-002","Rev 5","Pump","DriverPowerMargin",1.10,1.25,"-","Driver sizing margin"
"NORSOK-P-002","Rev 5","Pump","MaxVibration",3.00,4.50,"mm/s","Maximum vibration level RMS"
"NORSOK-P-002","Rev 5","Pump","MinBearingLife",25000.00,25000.00,"hours","Minimum L10 bearing life"
"NORSOK-P-002","Rev 5","Pump","MinSealLife",25000.00,25000.00,"hours","Minimum seal life"
"NORSOK-U-001","Rev 4","SubseaManifold","DesignLife",25.00,30.00,"years","Subsea manifold design life"
"NORSOK-U-001","Rev 4","SubseaManifold","CorrosionAllowance",3.00,6.00,"mm","Corrosion allowance"
"NORSOK-U-001","Rev 4","SubseaManifold","MinWallThickness",6.35,6.35,"mm","Minimum wall thickness"
"NORSOK-U-001","Rev 4","SubseaPump","DesignLife",20.00,25.00,"years","Subsea pump design life"
"NORSOK-U-001","Rev 4","SubseaPump","MaintenanceInterval",3.00,5.00,"years","Maintenance interval"
"NORSOK-P-002","Rev 5","HeatExchanger","DesignDutyMargin",1.10,1.10,"-","Heat exchanger duty margin 10 percent"
"NORSOK-P-002","Rev 5","HeatExchanger","DesignAreaMargin",1.15,1.20,"-","Heat exchanger area margin 15-20 percent"
"NORSOK-P-002","Rev 5","HeatExchanger","DesignPressureMargin",1.10,1.10,"-","Design pressure margin over max operating"
"NORSOK-P-002","Rev 5","HeatExchanger","DesignTemperatureMargin",20.00,25.00,"C","Temperature margin above operating"
"NORSOK-P-002","Rev 5","HeatExchanger","MinApproachTemperature",5.00,10.00,"C","Minimum approach temperature"
"NORSOK-P-002","Rev 5","HeatExchanger","MaxTubeVelocity",2.50,3.00,"m/s","Maximum tube side velocity"
"NORSOK-P-002","Rev 5","HeatExchanger","MinTubeVelocity",0.90,1.00,"m/s","Minimum tube side velocity"
"NORSOK-P-002","Rev 5","HeatExchanger","MaxShellVelocity",1.50,2.50,"m/s","Maximum shell side velocity"
"NORSOK-P-002","Rev 5","HeatExchanger","VibrationCheckRequired",1.00,1.00,"-","Tube vibration analysis mandatory per P-002"
"NORSOK-P-002","Rev 5","Cooler","DesignDutyMargin",1.10,1.10,"-","Air cooler duty margin 10 percent"
"NORSOK-P-002","Rev 5","Cooler","DesignPressureMargin",1.10,1.10,"-","Air cooler pressure margin"
"NORSOK-P-002","Rev 5","Cooler","MaxAmbientDesignTemp",30.00,35.00,"C","Maximum ambient for air cooler sizing NCS"
"NORSOK-P-002","Rev 5","Heater","DesignDutyMargin",1.10,1.10,"-","Heater duty margin 10 percent"
"NORSOK-P-002","Rev 5","Heater","DesignPressureMargin",1.10,1.10,"-","Heater design pressure margin"
"NORSOK-M-001","Rev 6","HeatExchanger","MinDesignTemperature",-46.00,-46.00,"C","Minimum design temperature for carbon steel HX"
"NORSOK-M-001","Rev 6","HeatExchanger","MaxDesignTemperature",150.00,150.00,"C","Maximum design temperature carbon steel"
"NORSOK-M-001","Rev 6","HeatExchanger","HardnessLimitSour",248.00,248.00,"HV10","Maximum hardness for sour service HX"
"NORSOK-M-001","Rev 6","HeatExchanger","H2SPartialPressureLimit",0.05,0.05,"bar","H2S pp limit for sour classification"
"NORSOK-M-001","Rev 6","Cooler","MinDesignTemperature",-46.00,-46.00,"C","Minimum design temperature for CS cooler"
"NORSOK-M-001","Rev 6","Heater","MinDesignTemperature",-46.00,-46.00,"C","Minimum design temperature for CS heater"
"NORSOK-D-010","Rev 5","SubseaWell","BurstDesignFactor",1.10,1.10,"-","Minimum burst design factor (Table 18)"
"NORSOK-D-010","Rev 5","SubseaWell","CollapseDesignFactor",1.00,1.00,"-","Minimum collapse design factor (Table 18)"
"NORSOK-D-010","Rev 5","SubseaWell","TensionDesignFactor",1.60,1.60,"-","Minimum tension design factor (Table 18)"
"NORSOK-D-010","Rev 5","SubseaWell","TriaxialDesignFactor",1.25,1.25,"-","Minimum VME triaxial design factor (Table 18)"
"NORSOK-D-010","Rev 5","SubseaWell","MinPrimaryBarrierElements",2.00,2.00,"-","Minimum elements in primary barrier envelope (Section 5)"
"NORSOK-D-010","Rev 5","SubseaWell","MinSecondaryBarrierElements",2.00,2.00,"-","Minimum elements in secondary barrier envelope (Section 5)"
"NORSOK-D-010","Rev 5","SubseaWell","DHSVRequired",1.00,1.00,"-","DHSV/SSSV required for subsea producers (Section 8)"
"NORSOK-D-010","Rev 5","SubseaWell","AnnulusPressureMonitoring",1.00,1.00,"-","Annulus pressure monitoring required (Section 9)"
"NORSOK-D-010","Rev 5","SubseaWell","MaxAnnularPressureTestInterval",1.00,1.00,"yr","Max interval between annular pressure tests (Section 9)"
"NORSOK-D-010","Rev 5","SubseaWell","CementTopAboveShoe",200.00,200.00,"m","Cement top above shoe minimum (Section 14)"
"NORSOK-D-010","Rev 5","SubseaWell","ISVRequiredInjector",1.00,1.00,"-","Injection safety valve required for injection wells (Table 36)"
"NORSOK-D-010","Rev 5","SubseaWell","InjectionBurstDesignFactor",1.10,1.10,"-","Burst design factor for injection service (Table 18)"
"NORSOK-D-010","Rev 5","SubseaWell","InjectionCollapseDesignFactor",1.10,1.10,"-","Collapse design factor for injection service (Table 18)"
"NORSOK-D-010","Rev 5","SubseaWell","InjectionTensionDesignFactor",1.60,1.60,"-","Tension design factor for injection service (Table 18)"
"NORSOK-D-010","Rev 5","SubseaWell","WellIntegrityTestInterval",0.50,1.00,"yr","Well integrity test interval (Section 9)"
"NORSOK-S-001","Template","FirewaterDeluge","ResponseTime",0.00,60.00,"s","Screening template for documented deluge activation response time"
"NORSOK-S-001","Template","FirewaterDeluge","ApplicationRateMargin",1.00,1.30,"-","Screening template for firewater demand versus documented capacity margin"
"NORSOK-S-001","Template","FireGasDetection","VotingLogicDocumented",1.00,1.00,"-","Screening template flag requiring C&E voting logic evidence"
"NORSOK-S-001","Template","FireGasDetection","DetectorCoverageDocumented",1.00,1.00,"-","Screening template flag requiring detector layout and coverage evidence"
"NORSOK-S-001","Template","PassiveFireProtection","FireRating",30.00,120.00,"min","Screening template for PFP fire-rating endurance requirement"
"NORSOK-S-001","Template","SafetyInstrumentedFunction","TargetPfd",0.0001,0.01,"-","Screening template for SIF target PFD range from SRS/SIL verification"
"TR1055-STYLE","Template","SafetyCriticalSystem","PerformanceRequirementDocumented",1.00,1.00,"-","Template flag requiring a documented functional requirement"
"TR1055-STYLE","Template","SafetyCriticalSystem","AcceptanceCriteriaDocumented",1.00,1.00,"-","Template flag requiring measurable acceptance criteria"
"TR1055-STYLE","Template","SafetyCriticalSystem","VerificationMethodDocumented",1.00,1.00,"-","Template flag requiring test inspection or monitoring method"
"TR1055-STYLE","Template","SafetyCriticalSystem","StatusFollowUpInterval",1.00,12.00,"months","Template interval for barrier performance follow-up review"
"TR1055-STYLE","Template","SafetyInstrumentedFunction","ProofTestInterval",6.00,24.00,"months","Template proof-test interval band for SIF follow-up"
"TR1055-STYLE","Template","PassiveFireProtection","InspectionInterval",12.00,60.00,"months","Template inspection interval band for PFP condition follow-up"
