Standard,Section,ParameterName,Value,Unit,EquipmentType,Description
API-Spec-17J,Sec7,InternalSheathMin_Sour,8.0,mm,FlexiblePipe,Min sheath thickness sour
API-Spec-17J,Sec8,PressureArmorYield,700,MPa,FlexiblePipe,Pressure armor yield strength
API-Spec-17J,Sec8,TensileArmorYield,1400,MPa,FlexiblePipe,Tensile armor yield strength
API-RP-17E,Sec5,TubeDesignFactor,0.60,,Umbilical,Design factor for tubes
API-RP-17E,Sec5,ArmorDesignFactor,0.67,,Umbilical,Design factor for armor
API-RP-17E,Sec6,MinBendRadiusFactor_Steel,8.0,,Umbilical,MBR factor for steel tube
API-RP-17E,Sec6,MinBendRadiusFactor_Thermo,6.0,,Umbilical,MBR factor for thermoplastic
API-RP-17E,Sec7,TubeWallMin,1.5,mm,Umbilical,Minimum tube wall thickness
API-RP-17E,Sec8,SuperDuplexSMYS,550,MPa,Umbilical,Super duplex yield strength
API-RP-17G,Sec6,FoundationSafetyFactor,2.0,,Manifold,Foundation capacity factor
API-RP-17G,Sec6,ValveActuationTime,30,seconds,Manifold,Maximum valve actuation time
API-RP-17G,Sec7,HubConnectorCapacity,500,kN,Manifold,Minimum connector capacity
API-RP-17Q,Sec5,QualificationTestDuration,2000,hours,General,Technology qualification test
API-RP-17Q,Sec5,SystemIntegrationTest,500,hours,General,System integration test duration
API-RP-17V,Sec5,MotorPowerMargin,1.20,,SubseaBooster,Motor power margin
API-RP-17V,Sec5,MinMTBF,40000,hours,SubseaBooster,Minimum MTBF requirement
API-RP-17V,Sec6,DesignLifeYears,25,years,SubseaBooster,Design service life
API-RP-17V,Sec6,BearingLifeMin,40000,hours,SubseaBooster,Minimum bearing L10 life
API-RP-17V,Sec7,CoolingMargin,1.20,,SubseaBooster,Cooling capacity margin
ISO-13628-1,Sec7,DesignPressureFactor,1.10,,General,Design pressure factor
ISO-13628-1,Sec7,DesignTemperatureMargin,15,degC,General,Temperature margin above max
ISO-13628-4,Sec6,TreeDesignFactor,0.67,,SubseaTree,Tree design factor
ISO-13628-4,Sec7,TreeTestPressure,1.50,,SubseaTree,Tree FAT pressure factor
ISO-13628-5,Sec5,UmbilicalDesignFactor,0.60,,Umbilical,Umbilical tube design factor
ISO-13628-5,Sec6,UmbilicalMBRFactor,8.0,,Umbilical,MBR factor for steel tube
NORSOK-U-001,Sec5,DesignLifeYears,25,years,General,Design service life
NORSOK-U-001,Sec5,CorrosionAllowance,3.0,mm,General,Standard corrosion allowance
NORSOK-U-001,Sec6,FoundationSafetyFactor,2.0,,Foundation,Bearing capacity factor
NORSOK-U-001,Sec7,SubseaTreeTestPressure,1.50,,SubseaTree,FAT pressure factor
